quantile,Organic,AMP,Google Answer,Google Product,Ads
q1,0.14236771477283078,0.0099925151077974,0.07367416077420041,0.6526341487107332,0.12133146063443813
q2,0.12777215155031738,0.06751838436302775,0.09310340488521136,0.6175419244377857,0.09406413476365784
q3,0.14334147151403928,0.16605133963274174,0.1463313433948328,0.46393111951040905,0.08034472594797712
q4,0.16869250875944655,0.19575995571918509,0.3356557778278224,0.23434909501013645,0.0655426626834095
q5,0.18858360048288544,0.1893726637024633,0.39807285128647385,0.18348571715472206,0.04048516737345523
q6,0.229970820615748,0.1251404789020053,0.3709532333120836,0.24536419250105979,0.028571274669103256
q7,0.29141233028245095,0.07554398178782376,0.2755457394930348,0.33630932476811376,0.021188623668576594
q8,0.34437616804030236,0.06045632694404926,0.21267110251935847,0.36845128904601615,0.014045113450273771
q9,0.36862651981172945,0.06305404098620251,0.1960742076127096,0.36265001228816846,0.009595219301189855
q10,0.3704726784793796,0.06967677060504532,0.20714380369813104,0.3465247702036955,0.006181977013748432
q11,0.3772268304707953,0.07868006128274263,0.2118055816287405,0.3299295909928274,0.002357935624894201
q12,0.4067016025059271,0.08884917916775058,0.2026444729449539,0.3006735706132023,0.0011311747681662584
q13,0.4493109974883951,0.09653821714672886,0.1820016607865012,0.2712373667103345,0.0009117578680402173
q14,0.49339885855839083,0.09747658063076456,0.15664496785304619,0.2513340932791113,0.0011454996786870676
q15,0.5263501505642664,0.09830144627254586,0.1338144256072119,0.2403657732429409,0.0011682043130348786
q16,0.5512322232263643,0.10172475407985415,0.11667479258557154,0.22972047848073057,0.0006477516274794924
q17,0.5667874575404258,0.10796683228665824,0.10561509950057321,0.2194070043535761,0.00022360631876668842
q18,0.571919374077295,0.11171570984206637,0.10028959704215183,0.21605677796231804,1.854107616880833e-05
q19,0.5609257639933146,0.11794824155655655,0.10354845193205824,0.21753966339464112,3.787912342964613e-05
q20,0.5530181140378775,0.12593466239249634,0.10578192717396775,0.21526456238858385,7.340070745554806e-07
q21,0.5306407773258427,0.13445113735272898,0.11373218359185779,0.22117590172957058,0.0
q22,0.5175093891851933,0.12958927955803645,0.121328400061792,0.23154689986450402,2.6031330474142452e-05
q23,0.5002669669059384,0.12964151647464436,0.12734715400000837,0.2426550663604443,8.929625896457649e-05
q24,0.4853827154411987,0.12586749088948418,0.1351790570368848,0.25349381192663917,7.692470579335983e-05
q25,0.48008418169502626,0.12247961813820343,0.13813518462432017,0.25930101554245016,0.0
q26,0.48042115783196754,0.119653833745705,0.14044651484488938,0.2594784935774381,0.0
q27,0.49738502862852196,0.11328306166141919,0.13824570843658493,0.25108620127347414,0.0
q28,0.5201067660586606,0.11660726504247751,0.12761505944479426,0.23567090945406777,0.0
q29,0.5474631439276466,0.12344765164657134,0.12024430006355546,0.2088449043622266,0.0
q30,0.5813109872368163,0.1345943291401372,0.10327238138046112,0.1808223022425853,0.0
q31,0.6198602411145866,0.15195112053144227,0.07885605205543068,0.14933258629854046,0.0
q32,0.6505260905041372,0.173062309291337,0.060770418820222376,0.11564118138430346,0.0
q33,0.673359944482575,0.1956983014443138,0.043079858889432505,0.08786189518367878,0.0
q34,0.6885355294944792,0.21211347937950195,0.029712668782041998,0.0696378681735734,4.5417040357762123e-07
q35,0.6947158017332841,0.2255380357691181,0.023020120457901947,0.05664805303854993,7.798900114595874e-05
q36,0.6954587844322198,0.23492061748222937,0.020624206892222306,0.04866252495920934,0.00033386623411923983
q37,0.6986192237339921,0.2396868599623497,0.016335277372779372,0.04430923039588499,0.0010494085349940722
q38,0.6947062637265793,0.24384573097654064,0.016061612059398097,0.04370716429490034,0.0016792289425815864
q39,0.6840479436373876,0.24903706804767617,0.01800765241480559,0.04654943739664918,0.0023578985034817344
q40,0.6678941774745809,0.2520922362695801,0.024038581836025086,0.052486762283058715,0.003488242136755125
q41,0.643361346557499,0.2523761139292959,0.03307622328177104,0.06637663458193703,0.004809681649496992
q42,0.6127628198193912,0.24216015862029217,0.041010086928529,0.09840013023404064,0.005666804397747116
q43,0.5391741487908637,0.21340358290788536,0.06800949560358636,0.17275821580176082,0.006654556895903934
q44,0.37231725665417575,0.13776057037881778,0.11359666401470486,0.3694864540180806,0.0068390549342207925
q45,0.19447840967903218,0.06780472073894324,0.1882807055731432,0.5445771047474628,0.004859059261418591
q46,0.062417833678456186,0.023800841872578374,0.45226589737770223,0.4597063669775431,0.001809060093720018
q47,0.0178701933233576,0.00817028710705881,0.4429333359108588,0.5299250247596279,0.0011011588990969292
q48,0.01191782191048319,0.004717550800664805,0.2555526895479561,0.725384382190326,0.002427555550570007
q49,0.009537905853257554,0.0036252758821415285,0.1029982037044927,0.8804657362259681,0.0033728783341398397
q50,0.0016996772529599895,0.0008101262004562344,0.023526707495689633,0.9706027954750786,0.0033606935758157524
